Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
25.01.2021;32.268,10;32.298,00;34.693,00;32.268,10;9,23K;-0,09%
25.01.2022;36.994,00;36.702,00;37.545,00;35.759,00;8,86K;0,80%
25.02.2021;47.144,00;49.715,00;51.511,00;47.144,00;9,55K;-5,17%
25.02.2022;39.243,00;38.380,00;39.717,00;38.071,10;6,43K;2,25%
25.03.2021;51.363,00;52.347,20;52.926,00;50.874,00;11,59K;-1,88%
25.03.2022;44.337,00;44.003,00;45.082,00;43.607,00;4,36K;0,76%
25.05.2021;38.363,00;38.772,90;39.761,00;36.760,50;7,77K;-1,06%
25.06.2021;31.584,00;34.656,60;34.915,00;31.584,00;37,67K;-8,87%
25.08.2021;48.989,00;47.714,00;49.244,00;47.158,00;4,12K;2,67%
25.10.2021;63.100,00;60.847,00;63.666,00;60.633,00;3,71K;3,70%
25.11.2021;58.995,00;57.209,00;59.423,40;57.070,00;3,98K;3,12%
26.01.2021;32.519,00;32.268,10;32.735,10;31.434,00;8,54K;0,78%
26.01.2022;36.830,80;36.986,00;38.901,00;36.301,00;10,65K;-0,44%
26.02.2021;46.319,00;47.144,00;48.250,00;45.320,00;22,33K;-1,75%
26.03.2021;54.992,90;51.363,00;54.992,90;51.363,00;7,71K;7,07%
26.04.2021;54.103,00;49.129,00;54.214,00;49.129,00;11,01K;10,15%
26.05.2021;39.301,00;38.363,00;40.497,80;38.020,20;8,61K;2,45%
26.07.2021;37.296,00;35.422,00;40.515,60;35.276,00;16,31K;5,34%
26.08.2021;46.832,00;48.989,00;49.385,00;46.370,70;6,48K;-4,40%
26.10.2021;60.290,00;63.100,00;63.306,00;59.852,00;4,75K;-4,45%
26.11.2021;53.738,00;58.995,00;59.229,00;53.565,00;12,19K;-8,91%
27.01.2021;30.454,00;32.519,00;32.519,00;29.815,00;14,77K;-6,35%
27.01.2022;37.217,00;36.830,80;37.248,00;35.571,00;6,94K;1,05%
27.03.2022;46.836,00;44.536,40;46.862,00;44.440,00;5,65K;5,16%
27.04.2021;55.044,00;54.103,00;55.215,00;53.660,00;7,24K;1,74%
27.05.2021;38.435,00;39.301,00;40.120,00;37.381,00;5,55K;-2,20%
27.07.2021;39.563,00;37.296,00;39.563,00;36.436,00;6,04K;6,08%
27.08.2021;49.076,10;46.832,00;49.159,00;46.364,90;5,80K;4,79%
27.09.2021;42.191,00;43.220,50;44.354,00;42.144,00;4,26K;-2,29%
27.10.2021;58.453,00;60.289,00;61.447,70;58.096,40;7,14K;-3,05%
27.12.2021;50.684,00;50.797,00;52.027,00;50.483,00;3,52K;-0,22%
28.01.2021;33.331,00;30.454,00;33.418,00;30.344,00;9,17K;9,45%
28.01.2022;37.759,80;37.217,00;38.041,00;36.197,00;4,58K;1,46%
28.02.2022;43.202,00;37.734,00;44.198,00;37.502,00;8,45K;14,49%
28.03.2022;47.743,00;46.836,00;47.772,00;46.666,00;9,29K;1,94%
28.04.2021;54.860,00;55.044,00;55.575,00;54.090,00;5,76K;-0,33%
28.05.2021;35.667,00;38.484,70;38.484,70;35.028,00;10,22K;-7,20%
28.06.2021;34.484,00;34.717,00;35.168,00;34.152,00;6,18K;-0,67%
28.07.2021;40.004,00;39.563,00;40.899,00;38.822,00;7,98K;1,11%
28.09.2021;41.064,00;42.191,00;42.777,00;40.928,00;6,16K;-2,67%
28.10.2021;60.598,00;58.453,00;62.395,00;57.612,00;8,07K;3,67%
28.12.2021;47.554,00;50.684,00;50.710,00;47.339,00;5,43K;-6,18%
29.01.2021;34.280,70;33.350,00;38.056,00;32.466,00;28,64K;2,85%
29.03.2021;57.672,30;55.773,00;58.162,00;54.984,00;10,12K;3,41%
29.04.2021;53.566,00;54.860,00;54.860,00;52.631,00;7,08K;-2,36%
29.06.2021;35.895,90;34.484,00;36.411,00;34.316,70;5,51K;4,09%
29.07.2021;40.041,00;40.004,00;40.623,00;39.282,00;4,07K;0,09%
29.09.2021;41.551,00;41.064,00;42.591,00;40.811,00;4,39K;1,19%
29.10.2021;62.235,00;60.598,00;62.980,00;60.189,50;3,92K;2,70%
29.11.2021;57.845,00;57.325,00;58.886,00;56.772,00;5,07K;0,91%
29.12.2021;46.465,00;47.554,00;48.166,00;46.129,00;4,12K;-2,29%
30.03.2021;58.841,00;57.672,30;59.349,00;57.278,00;7,87K;2,03%
30.04.2021;57.637,00;53.566,00;57.637,00;53.339,00;7,86K;7,60%
30.05.2021;35.615,00;34.570,00;36.138,00;33.680,00;6,02K;3,02%
30.06.2021;35.043,50;35.895,90;35.981,00;34.754,00;3,45K;-2,37%
30.07.2021;42.169,00;40.034,40;42.244,00;38.373,00;7,77K;5,31%
30.08.2021;47.008,00;48.800,00;48.915,70;46.904,00;4,12K;-3,67%
30.09.2021;43.830,00;41.551,00;44.107,00;41.432,00;5,11K;5,48%
30.11.2021;56.938,00;57.845,00;59.174,00;55.940,00;6,47K;-1,57%
30.12.2021;47.156,00;46.465,00;47.911,00;45.996,00;3,20K;1,49%
31.01.2022;38.526,00;37.914,40;38.772,10;36.683,00;4,77K;1,55%
31.03.2021;58.796,00;58.841,00;59.453,00;57.698,00;8,12K;-0,08%
31.05.2021;37.305,00;35.615,00;37.305,00;34.527,00;5,98K;4,75%
31.08.2021;47.157,00;47.008,00;48.241,00;46.725,00;4,30K;0,32%
31.12.2021;46.218,00;47.156,00;48.589,00;45.697,00;4,25K;-1,99%
