Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
08.09.2021;69,3;68,37;69,75;68,31;389,33K;1,39%
08.10.2021;79,35;78,86;80,11;78,63;662,01K;1,34%
08.11.2021;81,93;81,13;82,67;81,05;393,95K;0,81%
08.12.2021;72,36;71,86;73;70,91;464,85K;0,43%
09.02.2021;58,36;58,11;58,62;57,27;514,70K;0,67%
09.02.2022;89,66;89,86;90,58;88,41;445,62K;0,34%
09.03.2021;64,01;64,73;65,98;63,63;554,56K;-1,60%
09.03.2022;108,7;124,66;126,84;103,63;594,77K;-12,13%
09.04.2021;59,32;59,76;59,95;59,1;351,44K;-0,47%
09.06.2021;69,96;70,01;70,62;69,46;410,82K;-0,13%
09.07.2021;74,56;73,26;74,76;72,72;422,15K;2,22%
09.08.2021;66,48;67,88;67,9;65,15;598,38K;-2,64%
09.09.2021;68,14;69,36;69,89;67,56;556,45K;-1,67%
09.11.2021;84,15;82,16;84,63;81,78;504,83K;2,71%
09.12.2021;70,94;72,52;73,34;70,39;393,21K;-1,96%
10.01.2022;78,23;78,88;79,45;77,83;389,96K;-0,85%
10.02.2021;58,68;58,45;58,91;58,08;457,54K;0,55%
10.02.2022;89,88;90,01;91,74;89,03;492,09K;0,25%
10.03.2021;64,44;63,84;64,96;63,13;498,49K;0,67%
10.03.2022;106,02;110,41;114,88;105,53;437,92K;-2,47%
10.05.2021;64,92;65,57;65,75;63,95;448,34K;0,03%
10.06.2021;70,29;69,76;70,65;68,68;492,46K;0,47%
10.08.2021;68,29;66,85;68,9;66,56;452,13K;2,72%
10.09.2021;69,72;67,97;69,96;67,68;411,08K;2,32%
10.11.2021;81,34;84,53;84,97;80,81;555,22K;-3,34%
10.12.2021;71,67;70,68;72,33;70,32;397,88K;1,03%
11.01.2021;52,25;52,58;52,7;51,5;394,82K;0,02%
11.01.2022;81,22;78,42;81,59;78,36;481,82K;3,82%
11.02.2021;58,24;58,4;58,71;57,84;380,45K;-0,75%
11.02.2022;93,1;90;94,66;89,19;554,42K;3,58%
11.03.2021;66,02;64,7;66,21;64,54;441,06K;2,45%
11.03.2022;109,33;105,99;110,29;104,48;368,19K;3,12%
11.05.2021;65,28;64,9;65,5;63,68;514,95K;0,55%
11.06.2021;70,91;70,1;71,24;69,68;563,58K;0,88%
