Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
15.07.2021;1.836,90;1.833,10;1.841,10;1.833,10;0,10K;0,21%
15.09.2021;1.798,50;1.806,30;1.810,50;1.796,00;0,39K;-0,68%
15.10.2021;1.771,90;1.800,70;1.800,70;1.770,10;0,98K;-1,64%
15.11.2021;1.870,80;1.875,60;1.876,30;1.862,90;11,81K;-0,07%
15.12.2021;1.766,90;1.774,30;1.783,30;1.755,40;1,84K;-0,44%
16.01.2022;1.815,75;1.816,40;1.818,10;1.815,15;-;-0,18%
16.02.2021;1.810,20;1.819,80;1.819,80;1.808,20;0,02K;-0,47%
16.02.2022;1.871,50;1.855,50;1.874,60;1.851,80;141,49K;0,82%
16.03.2021;1.741,80;1.748,90;1.748,90;1.748,90;0,00K;0,09%
16.03.2022;1.909,20;1.920,10;1.930,10;1.895,20;195,46K;-1,06%
16.04.2021;1.789,70;1.784,70;1.784,70;1.784,70;0,00K;0,75%
16.06.2021;1.868,70;1.863,20;1.871,20;1.816,40;0,30K;0,27%
16.07.2021;1.823,00;1.835,70;1.835,70;1.822,50;0,27K;-0,76%
16.08.2021;1.794,10;1.784,90;1.794,90;1.780,00;0,34K;0,66%
16.09.2021;1.760,40;1.799,00;1.799,00;1.750,00;0,66K;-2,12%
16.11.2021;1.858,30;1.868,40;1.882,50;1.855,50;3,77K;-0,67%
16.12.2021;1.800,70;1.781,20;1.803,10;1.778,40;7,25K;1,91%
17.01.2021;1.809,75;1.826,80;1.829,10;1.803,60;-;-2,13%
17.01.2022;1.819,05;1.815,85;1.822,90;1.812,25;-;0,18%
17.02.2021;1.783,80;1.780,00;1.780,00;1.780,00;0,00K;-1,46%
17.02.2022;1.902,00;1.872,00;1.904,00;1.869,70;268,55K;1,63%
17.03.2021;1.737,50;1.737,80;1.750,40;1.737,00;0,32K;-0,25%
17.03.2022;1.943,20;1.928,40;1.951,00;1.924,00;149,83K;1,78%
17.05.2021;1.876,70;1.854,50;1.876,10;1.854,50;0,64K;1,55%
17.06.2021;1.782,00;1.830,90;1.830,90;1.779,10;0,42K;-4,64%
17.08.2021;1.791,80;1.791,90;1.800,80;1.786,80;1,70K;-0,13%
17.09.2021;1.754,90;1.757,40;1.771,40;1.751,00;2,34K;-0,31%
17.11.2021;1.874,40;1.855,90;1.874,60;1.855,90;2,28K;0,87%
17.12.2021;1.807,30;1.803,70;1.818,00;1.799,30;8,37K;0,37%
18.01.2021;1.836,60;1.809,65;1.839,45;1.809,65;-;1,48%
18.01.2022;1.814,90;1.819,80;1.825,20;1.807,20;102,42K;-0,23%
18.02.2021;1.785,60;1.789,30;1.789,30;1.789,30;0,00K;0,10%
18.02.2022;1.899,80;1.901,40;1.905,00;1.888,00;161,75K;-0,12%
18.03.2021;1.743,50;1.744,70;1.744,70;1.744,70;0,00K;0,35%
18.03.2022;1.929,30;1.943,90;1.946,20;1.918,00;150,88K;-0,72%
18.05.2021;1.877,30;1.879,70;1.879,70;1.878,60;0,03K;0,03%
18.06.2021;1.776,50;1.786,70;1.800,40;1.781,00;0,25K;-0,31%
18.08.2021;1.788,40;1.793,90;1.798,50;1.783,90;0,71K;-0,19%
18.10.2021;1.769,30;1.771,00;1.775,00;1.763,90;1,24K;-0,15%
18.11.2021;1.865,70;1.874,60;1.875,80;1.861,00;3,74K;-0,46%
19.01.2021;1.857,60;1.838,80;1.858,80;1.825,50;0,09K;1,14%
19.01.2022;1.845,50;1.816,40;1.846,10;1.811,60;88,81K;1,69%
19.02.2021;1.787,90;1.777,20;1.777,20;1.777,20;0,00K;0,13%
19.03.2021;1.752,60;1.752,40;1.752,40;1.742,10;0,11K;0,52%
19.04.2021;1.780,30;1.780,10;1.783,00;1.780,10;0,00K;-0,53%
19.05.2021;1.890,70;1.876,70;1.898,00;1.861,80;0,12K;0,71%
19.07.2021;1.816,90;1.821,50;1.823,30;1.807,10;0,08K;-0,33%
19.08.2021;1.787,10;1.789,10;1.797,60;1.779,00;0,69K;-0,07%
19.10.2021;1.774,10;1.767,70;1.789,40;1.767,70;0,63K;0,27%
19.11.2021;1.856,10;1.865,30;1.872,10;1.849,20;3,85K;-0,51%
20.01.2021;1.883,10;1.880,30;1.880,30;1.880,30;0,01K;1,37%
20.01.2022;1.844,90;1.842,90;1.850,80;1.838,40;80,38K;-0,03%
20.02.2022;1.908,00;1.900,80;1.909,35;1.900,80;-;0,43%
20.04.2021;1.788,10;1.787,80;1.787,80;1.787,80;0,00K;0,44%
20.05.2021;1.891,00;1.883,50;1.889,70;1.877,40;0,01K;0,02%
20.07.2021;1.818,90;1.824,80;1.831,00;1.817,00;0,23K;0,11%
20.08.2021;1.788,00;1.792,20;1.793,90;1.786,00;0,73K;0,05%
20.09.2021;1.767,50;1.753,00;1.771,00;1.748,30;1,07K;0,72%
20.10.2021;1.788,40;1.776,30;1.791,70;1.775,70;2,19K;0,81%
20.12.2021;1.796,90;1.802,40;1.805,50;1.791,40;3,80K;-0,58%
21.01.2021;1.882,10;1.876,50;1.879,40;1.875,70;0,01K;-0,05%
21.01.2022;1.834,10;1.842,60;1.845,80;1.830,60;68,74K;-0,59%
21.02.2022;1.912,05;1.907,80;1.918,30;1.889,70;-;0,21%
21.03.2022;1.929,50;1.922,40;1.941,80;1.917,20;146,41K;0,01%
21.04.2021;1.802,90;1.790,00;1.790,10;1.790,00;0,02K;0,83%
21.05.2021;1.886,00;1.888,60;1.895,10;1.882,00;0,04K;-0,26%
21.06.2021;1.790,50;1.777,80;1.791,50;1.777,80;0,24K;0,79%
21.07.2021;1.811,00;1.811,90;1.812,70;1.802,60;0,21K;-0,43%
21.09.2021;1.781,90;1.770,20;1.785,80;1.765,70;0,64K;0,81%
21.10.2021;1.785,40;1.785,80;1.792,50;1.780,40;0,46K;-0,17%
21.12.2021;1.791,10;1.794,30;1.803,60;1.787,60;4,59K;-0,32%
22.01.2021;1.872,80;1.852,90;1.869,70;1.852,90;0,04K;-0,49%
22.02.2021;1.818,00;1.797,00;1.819,00;1.797,00;0,00K;1,68%
22.02.2022;1.907,40;1.903,50;1.918,30;1.889,70;334,59K;-0,24%
22.03.2021;1.749,40;1.746,50;1.746,50;1.736,80;0,00K;-0,18%
22.03.2022;1.921,50;1.936,10;1.939,50;1.909,80;153,28K;-0,41%
22.04.2021;1.791,70;1.803,20;1.803,40;1.794,50;0,03K;-0,62%
22.06.2021;1.785,00;1.792,80;1.792,80;1.785,00;0,04K;-0,31%
22.07.2021;1.812,90;1.806,20;1.813,80;1.800,70;0,07K;0,10%
22.09.2021;1.782,70;1.782,70;1.791,20;1.770,00;0,49K;0,04%
22.10.2021;1.800,00;1.790,50;1.818,60;1.787,80;1,39K;0,82%
22.11.2021;1.811,00;1.852,50;1.853,70;1.807,40;10,12K;-2,43%
22.12.2021;1.804,60;1.791,80;1.808,10;1.788,60;1,60K;0,75%
23.02.2021;1.815,50;1.815,80;1.815,80;1.803,80;0,02K;-0,14%
23.02.2022;1.910,40;1.901,20;1.912,90;1.891,10;154,84K;0,16%
